goos: linux
goarch: amd64
pkg: github.com/open-quantum-safe/liboqs-go/oqstests
cpu: 12th Gen Intel(R) Core(TM) i7-12700
BenchmarkDecapsulate/BIKE-L3-20                             	     812	   1467514 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/BIKE-L5-20                             	     304	   3931150 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-348864-20             	   10000	    118930 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-348864f-20            	   10000	    115224 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-460896-20             	    8140	    147610 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-460896f-20            	    7878	    148524 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-6688128-20            	    7556	    157536 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-6688128f-20           	    7297	    157050 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-6960119-20            	    7828	    153357 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-6960119f-20           	    7645	    153465 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-8192128-20            	    7704	    168662 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Classic-McEliece-8192128f-20           	    7575	    155988 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/HQC-128-20                             	   12936	     93086 ns/op	      64 B/op	       1 allocs/op
BenchmarkDecapsulate/HQC-192-20                             	    6391	    184025 ns/op	      64 B/op	       1 allocs/op
BenchmarkDecapsulate/HQC-256-20                             	    3386	    354143 ns/op	      64 B/op	       1 allocs/op
BenchmarkDecapsulate/Kyber512-20                            	  177572	      6778 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Kyber768-20                            	  116217	     10281 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/Kyber1024-20                           	   84318	     14215 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/sntrup761-20                           	  100394	     11678 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/FrodoKEM-640-AES-20                    	    3632	    324408 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecapsulate/FrodoKEM-640-SHAKE-20                  	    1551	    769688 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecapsulate/FrodoKEM-976-AES-20                    	    2010	    592289 ns/op	      24 B/op	       1 allocs/op
BenchmarkDecapsulate/FrodoKEM-976-SHAKE-20                  	     766	   1565486 ns/op	      24 B/op	       1 allocs/op
BenchmarkDecapsulate/FrodoKEM-1344-AES-20                   	    1166	   1025767 ns/op	      32 B/op	       1 allocs/op
BenchmarkDecapsulate/FrodoKEM-1344-SHAKE-20                 	     424	   2809132 ns/op	      32 B/op	       1 allocs/op
PASS
ok  	github.com/open-quantum-safe/liboqs-go/oqstests	109.022s
